ID,SMILES,exp,InChi
1,CCCCCC,-3.84,"InChI=1/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
2,CCC(C)CC,-3.68,"InChI=1/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3"
3,C1CCCCC1,-3.1,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2
4,CC(C)CC(C)C,-4.26,"InChI=1/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3"
5,CCCCCCCC,-5.24,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
6,C1CCCCCCC1,-4.15,InChI=1/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2
7,C/C=C/CC,-2.54,"InChI=1/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
8,C=CCC(C)C,-3.24,"InChI=1/C6H12/c1-4-5-6(2)3/h4,6H,1,5H2,2-3H3"
9,C=CCCCCCCC,-5.05,"InChI=1/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3"
10,C=CCC=C,-2.09,"InChI=1/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2"
11,C=CCCC=C,-2.68,"InChI=1/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2"
12,C=CC=C,-1.87,"InChI=1/C4H6/c1-3-4-2/h3-4H,1-2H2"
13,C1=CCC=CC1,-1.97,"InChI=1/C6H8/c1-2-4-6-5-3-1/h1-2,5-6H,3-4H2"
14,C#CCCCCCC,-3.66,"InChI=1/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3"
15,C#CCCCCCCC,-4.24,"InChI=1/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3"
16,Cc1ccc(C)cc1,-2.77,"InChI=1/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
17,Cc1cccc(C)c1,-2.82,"InChI=1/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
18,Cc1cc(C)cc(C)c1,-3.4,"InChI=1/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3"
19,Cc1cccc(C)c1C,-3.2,"InChI=1/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3"
20,CCc1ccc(C)cc1,-3.11,"InChI=1/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3"
21,CC(C)c1ccccc1,-3.27,"InChI=1/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3"
22,CCCCc1ccccc1,-4.06,"InChI=1/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3"
23,CCc1ccc(CC)cc1,-3.75,"InChI=1/C10H14/c1-3-9-5-7-10(4-2)8-6-9/h5-8H,3-4H2,1-2H3"
24,CC[C@@H](C)c1ccccc1,-3.89,"InChI=1/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3/t9-/m1/s1"
25,Cc1cc(C)c(C)c(C)c1C,-4,"InChI=1/C11H16/c1-7-6-8(2)10(4)11(5)9(7)3/h6H,1-5H3"
26,CCC(C)(C)c1ccccc1,-4.15,"InChI=1/C11H16/c1-4-11(2,3)10-8-6-5-7-9-10/h5-9H,4H2,1-3H3"
27,CCCCCCc1ccccc1,-5.21,"InChI=1/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3"
28,C=Cc1ccccc1,-2.82,"InChI=1/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
29,c1ccc(cc1)CCc1ccccc1,-4.62,"InChI=1/C14H14/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-10H,11-12H2"
30,Cc1ccc2ccccc2c1,-3.77,"InChI=1/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3"
31,CCc1cccc2ccccc12,-4.17,"InChI=1/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3"
32,CCc1ccc2ccccc2c1,-4.29,"InChI=1/C12H12/c1-2-10-7-8-11-5-3-4-6-12(11)9-10/h3-9H,2H2,1H3"
33,Cc1ccc(C)c2ccccc12,-4.14,"InChI=1/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3"
34,Cc1ccc2cc(C)ccc2c1,-4.89,"InChI=1/C12H12/c1-9-3-5-12-8-10(2)4-6-11(12)7-9/h3-8H,1-2H3"
35,Cc1ccc(C)c2c(C)cccc12,-4.92,"InChI=1/C13H14/c1-9-7-8-11(3)13-10(2)5-4-6-12(9)13/h4-8H,1-3H3"
36,c1ccc2c(c1)ccc1ccccc21,-5.26,InChI=1/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H
37,Cc1c2ccccc2cc2ccccc12,-5.89,"InChI=1/C15H12/c1-11-14-8-4-2-6-12(14)10-13-7-3-5-9-15(11)13/h2-10H,1H3"
38,c1ccc2c(c1)c1cccc3cccc2c13,-6,InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H
39,c1ccc2cc3c(cc2c1)Cc1ccccc31,-8.04,"InChI=1/C17H12/c1-2-6-13-11-17-15(9-12(13)5-1)10-14-7-3-4-8-16(14)17/h1-9,11H,10H2"
40,c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74,InChI=1/C18H12/c1-2-8-14-13(7-1)15-9-3-4-11-17(15)18-12-6-5-10-16(14)18/h1-12H
41,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19,InChI=1/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H
42,Cc1c2ccccc2c(C)c2c1ccc1ccccc21,-7.02,"InChI=1/C20H16/c1-13-16-8-5-6-9-17(16)14(2)20-18(13)12-11-15-7-3-4-10-19(15)20/h3-12H,1-2H3"
43,c1ccc2c(c1)c1cccc3ccc4cccc2c4c13,-7.8,InChI=1/C20H12/c1-2-8-16-15(7-1)17-9-3-5-13-11-12-14-6-4-10-18(16)20(14)19(13)17/h1-12H
44,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.06,InChI=1/C18H12/c1-3-7-15-13(5-1)9-11-18-16-8-4-2-6-14(16)10-12-17(15)18/h1-12H
45,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,-8.8,InChI=1/C20H12/c1-5-13-6-2-11-17-18-12-4-8-14-7-3-10-16(20(14)18)15(9-1)19(13)17/h1-12H
46,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.03,InChI=1/C22H12/c1-3-13-7-9-15-11-12-16-10-8-14-4-2-6-18-17(5-1)19(13)21(15)22(16)20(14)18/h1-12H
47,c1ccc2cc3cc(ccc3cc2c1)N,-5.17,"InChI=1/C14H11N/c15-14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9H,15H2"
48,CCc1ccc2cc3ccccc3cc2c1,-6.89,"InChI=1/C16H14/c1-2-12-7-8-15-10-13-5-3-4-6-14(13)11-16(15)9-12/h3-11H,2H2,1H3"
49,c1ccc2c(c1)ccc1c3cccc4cccc(c34)c21,-8,InChI=1/C20H12/c1-2-8-15-13(5-1)11-12-17-16-9-3-6-14-7-4-10-18(19(14)16)20(15)17/h1-12H
50,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49,InChI=1/C20H12/c1-2-6-15-12-19-17-10-4-8-13-7-3-9-16(20(13)17)18(19)11-14(15)5-1/h1-12H
51,C(Br)Cl,-0.89,InChI=1/CH2BrCl/c2-1-3/h1H2
